loss,hyperparameters,iteration,runtime,score,std
0.5673201470332098,"{'boosting_type': 'goss', 'colsample_bytree': 0.65231285864982, 'learning_rate': 0.14847233514902292, 'limit_max_depth': False, 'max_depth': -1, 'min_child_samples': 25, 'num_leaves': 34, 'reg_alpha': 0.6153785160907022, 'reg_lambda': 0.19322121115335267, 'subsample_for_bin': 66000, 'subsample': 1.0, 'subsample_freq': 0, 'n_estimators': 98}",48,2.3966896428668862,0.43267985296679023,0.014719721980770841
0.5576573120206512,"{'boosting_type': 'dart', 'colsample_bytree': 0.8207625749527798, 'learning_rate': 0.18806465228506497, 'limit_max_depth': True, 'max_depth': 12, 'min_child_samples': 10, 'num_leaves': 29, 'reg_alpha': 0.525015294955921, 'reg_lambda': 0.014205486934562389, 'subsample_for_bin': 34000, 'drop_rate': 0.24235305620982364, 'subsample': 0.7444488025889971, 'subsample_freq': 10, 'n_estimators': 117}",49,9.699366137941661,0.4423426879793489,0.026729815345849624
0.5626153549619681,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.776007177332916, 'learning_rate': 0.21486679842306142, 'limit_max_depth': True, 'max_depth': 8, 'min_child_samples': 30, 'num_leaves': 46, 'reg_alpha': 0.6866755339622453, 'reg_lambda': 0.8220865460987948, 'subsample_for_bin': 82000, 'subsample': 0.8277256204799598, 'subsample_freq': 4, 'n_estimators': 47}",50,2.464309227732042,0.4373846450380318,0.017301042301362212
0.560966569059669,"{'boosting_type': 'dart', 'colsample_bytree': 0.5843848835035235, 'learning_rate': 0.06656612860844643, 'limit_max_depth': False, 'max_depth': -1, 'min_child_samples': 15, 'num_leaves': 43, 'reg_alpha': 0.22869498654122428, 'reg_lambda': 0.28943773818743324, 'subsample_for_bin': 60000, 'drop_rate': 0.28004344448550383, 'subsample': 0.6762815780465516, 'subsample_freq': 8, 'n_estimators': 93}",51,11.754440883293501,0.43903343094033104,0.012589690196374277
0.5688281777213314,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.515370345162445, 'learning_rate': 0.08102291389716172, 'limit_max_depth': True, 'max_depth': 40, 'min_child_samples': 65, 'num_leaves': 24, 'reg_alpha': 0.9731401044578489, 'reg_lambda': 0.42925150801856266, 'subsample_for_bin': 98000, 'subsample': 0.55175570385561, 'subsample_freq': 7, 'n_estimators': 62}",52,1.715327366442716,0.43117182227866857,0.019673388190336687
0.5734053530911385,"{'boosting_type': 'goss', 'colsample_bytree': 0.6676771974697674, 'learning_rate': 0.17317753212473552, 'limit_max_depth': True, 'max_depth': 34, 'min_child_samples': 20, 'num_leaves': 39, 'reg_alpha': 0.772557213440207, 'reg_lambda': 0.9916816755581814, 'subsample_for_bin': 54000, 'subsample': 1.0, 'subsample_freq': 0, 'n_estimators': 23}",53,1.7627958460461286,0.42659464690886156,0.011432627628826856
0.56518414747258,"{'boosting_type': 'dart', 'colsample_bytree': 0.8971478195034859, 'learning_rate': 0.04163584266476767, 'limit_max_depth': True, 'max_depth': 4, 'min_child_samples': 10, 'num_leaves': 11, 'reg_alpha': 0.40758081177377303, 'reg_lambda': 0.13276594012708115, 'subsample_for_bin': 18000, 'drop_rate': 0.21073448340435638, 'subsample': 0.5171596483482052, 'subsample_freq': 1, 'n_estimators': 34}",54,2.679144607948615,0.43481585252742005,0.007989671859110828
0.5679805312602941,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6035200994421192, 'learning_rate': 0.05484233716612683, 'limit_max_depth': True, 'max_depth': 29, 'min_child_samples': 25, 'num_leaves': 14, 'reg_alpha': 0.5017243750976903, 'reg_lambda': 0.7263489134085399, 'subsample_for_bin': 80000, 'subsample': 0.747504101452847, 'subsample_freq': 9, 'n_estimators': 116}",55,2.756662578295186,0.4320194687397059,0.007774826335652949
0.5726526336630589,"{'boosting_type': 'dart', 'colsample_bytree': 0.742407843833502, 'learning_rate': 0.13261076526707397, 'limit_max_depth': False, 'max_depth': -1, 'min_child_samples': 40, 'num_leaves': 26, 'reg_alpha': 0.2951903446876356, 'reg_lambda': 0.5727207022678388, 'subsample_for_bin': 40000, 'drop_rate': 0.1302752143587236, 'subsample': 0.997611716968068, 'subsample_freq': 5, 'n_estimators': 77}",56,5.711153437883536,0.4273473663369412,0.0219498513209483
0.5725694888393255,"{'boosting_type': 'goss', 'colsample_bytree': 0.7071692207816648, 'learning_rate': 0.07256193263922919, 'limit_max_depth': True, 'max_depth': 14, 'min_child_samples': 60, 'num_leaves': 16, 'reg_alpha': 0.1298066495331131, 'reg_lambda': 0.6476008730324114, 'subsample_for_bin': 88000, 'subsample': 1.0, 'subsample_freq': 0, 'n_estimators': 90}",57,1.7455683145553849,0.42743051116067454,0.014746038081074393
